x,y,value
0,0,32
1,0,32
2,0,32
3,0,32
4,0,32
5,0,32
6,0,32
7,0,32
8,0,32
9,0,32
10,0,32
11,0,32
12,0,32
13,0,32
14,0,32
15,0,32
16,0,32
17,0,32
18,0,32
19,0,32
20,0,32
21,0,32
22,0,32
23,0,32
24,0,32
25,0,32
26,0,32
27,0,32
28,0,32
29,0,32
30,0,32
31,0,32
32,0,32
33,0,32
34,0,32
35,0,32
36,0,32
37,0,32
38,0,32
39,0,32
40,0,32
41,0,32
42,0,32
43,0,32
44,0,32
45,0,32
46,0,32
47,0,32
48,0,32
49,0,32
50,0,32
51,0,32
52,0,32
53,0,32
54,0,32
55,0,32
56,0,32
57,0,32
58,0,32
59,0,32
60,0,32
61,0,32
62,0,32
63,0,32
64,0,32
65,0,32
66,0,32
67,0,32
68,0,32
69,0,32
70,0,32
71,0,32
72,0,32
73,0,32
74,0,32
75,0,32
76,0,32
77,0,32
78,0,32
79,0,32
0,1,32
1,1,32
2,1,32
3,1,32
4,1,32
5,1,32
6,1,32
7,1,32
8,1,32
9,1,32
10,1,32
11,1,32
12,1,32
13,1,32
14,1,32
15,1,32
16,1,32
17,1,32
18,1,32
19,1,32
20,1,32
21,1,32
22,1,32
23,1,32
24,1,32
25,1,32
26,1,32
27,1,32
28,1,32
29,1,32
30,1,32
31,1,32
32,1,32
33,1,32
34,1,32
35,1,32
36,1,32
37,1,32
38,1,32
39,1,32
40,1,32
41,1,32
42,1,32
43,1,32
44,1,32
45,1,32
46,1,32
47,1,32
48,1,32
49,1,32
50,1,32
51,1,32
52,1,32
53,1,32
54,1,32
55,1,32
56,1,32
57,1,32
58,1,32
59,1,32
60,1,32
61,1,32
62,1,32
63,1,32
64,1,32
65,1,32
66,1,32
67,1,32
68,1,32
69,1,32
70,1,32
71,1,32
72,1,32
73,1,32
74,1,32
75,1,32
76,1,32
77,1,32
78,1,32
79,1,32
0,2,32
1,2,32
2,2,32
3,2,32
4,2,32
5,2,32
6,2,32
7,2,32
8,2,32
9,2,32
10,2,32
11,2,32
12,2,32
13,2,32
14,2,32
15,2,32
16,2,32
17,2,32
18,2,32
19,2,32
20,2,32
21,2,32
22,2,32
23,2,32
24,2,32
25,2,32
26,2,32
27,2,32
28,2,32
29,2,32
30,2,32
31,2,32
32,2,32
33,2,32
34,2,32
35,2,32
36,2,32
37,2,32
38,2,32
39,2,32
40,2,32
41,2,32
42,2,32
43,2,32
44,2,32
45,2,32
46,2,32
47,2,32
48,2,32
49,2,32
50,2,32
51,2,32
52,2,32
53,2,32
54,2,32
55,2,32
56,2,32
57,2,32
58,2,32
59,2,32
60,2,32
61,2,32
62,2,32
63,2,32
64,2,32
65,2,32
66,2,32
67,2,32
68,2,32
69,2,32
70,2,32
71,2,32
72,2,32
73,2,32
74,2,32
75,2,32
76,2,32
77,2,32
78,2,32
79,2,32
0,3,32
1,3,32
2,3,32
3,3,32
4,3,32
5,3,32
6,3,32
7,3,32
8,3,32
9,3,32
10,3,32
11,3,32
12,3,32
13,3,32
14,3,32
15,3,32
16,3,32
17,3,32
18,3,32
19,3,32
20,3,32
21,3,32
22,3,32
23,3,32
24,3,32
25,3,32
26,3,32
27,3,32
28,3,32
29,3,32
30,3,32
31,3,32
32,3,32
33,3,32
34,3,32
35,3,32
36,3,32
37,3,32
38,3,32
39,3,32
40,3,32
41,3,32
42,3,32
43,3,32
44,3,32
45,3,32
46,3,32
47,3,32
48,3,32
49,3,32
50,3,32
51,3,32
52,3,32
53,3,32
54,3,32
55,3,32
56,3,32
57,3,32
58,3,32
59,3,32
60,3,32
61,3,32
62,3,32
63,3,32
64,3,32
65,3,32
66,3,32
67,3,32
68,3,32
69,3,32
70,3,32
71,3,32
72,3,32
73,3,32
74,3,32
75,3,32
76,3,32
77,3,32
78,3,32
79,3,32
0,4,32
1,4,32
2,4,32
3,4,32
4,4,32
5,4,32
6,4,32
7,4,32
8,4,32
9,4,32
10,4,32
11,4,32
12,4,32
13,4,32
14,4,32
15,4,32
16,4,32
17,4,32
18,4,32
19,4,32
20,4,32
21,4,32
22,4,32
23,4,32
24,4,32
25,4,32
26,4,32
27,4,32
28,4,32
29,4,32
30,4,32
31,4,32
32,4,32
33,4,32
34,4,32
35,4,32
36,4,32
37,4,32
38,4,32
39,4,32
40,4,32
41,4,32
42,4,32
43,4,32
44,4,32
45,4,32
46,4,32
47,4,32
48,4,32
49,4,32
50,4,32
51,4,32
52,4,32
53,4,32
54,4,32
55,4,32
56,4,32
57,4,32
58,4,32
59,4,32
60,4,32
61,4,32
62,4,32
63,4,32
64,4,32
65,4,32
66,4,32
67,4,32
68,4,32
69,4,32
70,4,32
71,4,32
72,4,32
73,4,32
74,4,32
75,4,32
76,4,32
77,4,32
78,4,32
79,4,32
0,5,32
1,5,32
2,5,32
3,5,32
4,5,32
5,5,32
6,5,32
7,5,32
8,5,32
9,5,32
10,5,32
11,5,32
12,5,32
13,5,32
14,5,32
15,5,32
16,5,32
17,5,32
18,5,32
19,5,32
20,5,32
21,5,32
22,5,32
