x,y,value
0,0,32
1,0,32
2,0,32
3,0,32
4,0,32
5,0,32
6,0,32
7,0,32
8,0,32
9,0,32
10,0,32
11,0,32
12,0,32
13,0,32
14,0,32
15,0,32
16,0,32
17,0,32
18,0,32
19,0,32
20,0,32
21,0,32
22,0,32
23,0,32
24,0,32
25,0,32
26,0,32
27,0,32
28,0,32
29,0,32
30,0,32
31,0,32
32,0,32
33,0,32
34,0,32
35,0,32
36,0,32
37,0,32
38,0,32
39,0,32
0,1,32
1,1,32
2,1,32
3,1,32
4,1,32
5,1,32
6,1,32
7,1,32
8,1,32
9,1,32
10,1,32
11,1,32
12,1,32
13,1,32
14,1,32
15,1,32
16,1,32
17,1,32
18,1,32
19,1,32
20,1,32
21,1,32
22,1,32
23,1,32
24,1,32
25,1,32
26,1,32
27,1,32
28,1,32
29,1,32
30,1,32
31,1,32
32,1,32
33,1,32
34,1,32
35,1,32
36,1,32
37,1,32
38,1,32
39,1,32
0,2,32
1,2,32
2,2,32
3,2,32
4,2,32
5,2,32
6,2,32
7,2,32
8,2,32
9,2,32
10,2,32
11,2,32
12,2,32
13,2,32
14,2,32
15,2,32
16,2,32
17,2,32
18,2,32
19,2,32
20,2,32
21,2,32
22,2,32
23,2,32
24,2,32
25,2,32
26,2,32
27,2,32
28,2,32
29,2,32
30,2,32
31,2,32
32,2,32
33,2,32
34,2,32
35,2,32
36,2,32
37,2,32
38,2,32
39,2,32
0,3,32
1,3,32
2,3,32
3,3,32
4,3,32
5,3,32
6,3,32
7,3,32
8,3,32
9,3,32
10,3,32
11,3,32
12,3,32
13,3,32
14,3,32
15,3,32
16,3,32
17,3,32
18,3,32
19,3,32
20,3,32
21,3,32
22,3,32
23,3,32
24,3,32
25,3,32
26,3,32
27,3,32
28,3,32
29,3,32
30,3,32
31,3,32
32,3,32
33,3,32
34,3,32
35,3,32
36,3,32
37,3,32
38,3,32
39,3,32
0,4,32
1,4,32
2,4,32
3,4,32
4,4,32
5,4,32
6,4,32
7,4,32
8,4,32
9,4,32
10,4,32
11,4,32
12,4,32
13,4,32
14,4,32
15,4,32
16,4,32
17,4,32
18,4,32
19,4,32
20,4,32
21,4,32
22,4,32
23,4,32
24,4,32
25,4,32
26,4,32
27,4,32
28,4,32
29,4,32
30,4,32
31,4,32
32,4,32
33,4,32
34,4,32
35,4,32
36,4,32
37,4,32
38,4,32
39,4,32
0,5,32
1,5,32
2,5,32
3,5,32
4,5,32
5,5,32
6,5,32
7,5,32
8,5,32
9,5,32
10,5,32
11,5,32
12,5,32
13,5,32
14,5,32
15,5,32
16,5,32
17,5,32
18,5,32
19,5,32
20,5,32
21,5,32
22,5,32
23,5,32
24,5,32
25,5,32
26,5,32
27,5,32
28,5,32
29,5,32
30,5,32
31,5,32
32,5,32
33,5,32
34,5,32
35,5,32
36,5,32
37,5,32
38,5,32
39,5,32
0,6,32
1,6,32
2,6,32
3,6,32
4,6,32
5,6,32
6,6,32
7,6,32
8,6,32
9,6,32
10,6,32
11,6,32
12,6,32
13,6,32
14,6,32
15,6,32
16,6,32
17,6,32
18,6,32
19,6,32
20,6,32
21,6,32
22,6,32
23,6,32
24,6,32
25,6,32
26,6,32
27,6,32
28,6,32
29,6,32
30,6,32
31,6,32
32,6,32
33,6,32
34,6,32
35,6,32
36,6,32
37,6,32
38,6,32
39,6,32
0,7,32
1,7,32
2,7,32
3,7,32
4,7,32
5,7,32
6,7,32
7,7,32
8,7,32
9,7,32
10,7,32
11,7,32
12,7,32
13,7,32
14,7,32
15,7,32
16,7,32
17,7,32
18,7,32
19,7,32
20,7,32
21,7,32
22,7,32
23,7,32
24,7,32
25,7,32
26,7,32
27,7,32
28,7,32
29,7,32
30,7,32
31,7,32
32,7,32
33,7,32
34,7,32
35,7,32
36,7,32
37,7,32
38,7,32
39,7,32
0,8,32
1,8,32
2,8,32
3,8,32
4,8,32
5,8,32
6,8,32
7,8,32
8,8,32
9,8,32
10,8,32
11,8,32
12,8,32
13,8,32
14,8,32
15,8,32
16,8,32
17,8,32
18,8,32
19,8,32
20,8,32
21,8,32
22,8,32
23,8,32
24,8,32
25,8,32
26,8,32
27,8,32
28,8,32
29,8,32
30,8,32
31,8,32
32,8,32
33,8,32
34,8,32
35,8,32
36,8,32
37,8,32
38,8,32
39,8,32
0,9,32
1,9,32
2,9,32
3,9,32
4,9,32
5,9,32
6,9,32
7,9,32
8,9,32
9,9,32
10,9,32
11,9,32
12,9,32
13,9,32
14,9,32
15,9,32
16,9,32
17,9,32
18,9,32
19,9,32
20,9,32
21,9,32
22,9,32
23,9,32
24,9,32
25,9,32
26,9,32
27,9,32
28,9,32
29,9,32
30,9,32
31,9,32
32,9,32
33,9,32
34,9,32
35,9,32
36,9,32
37,9,32
38,9,32
39,9,32
0,10,32
1,10,32
2,10,32
3,10,32
4,10,32
5,10,32
6,10,32
7,10,32
8,10,32
9,10,32
10,10,32
11,10,32
12,10,32
13,10,32
14,10,32
15,10,32
16,10,32
17,10,32
18,10,32
19,10,32
20,10,32
21,10,32
22,10,32
